iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
2	66	0	1	11.699	0.003166
5	99	0	1	5.620	0.001521
6	96	0	0	10.078	0.002728
1	293	0	10	5.762	0.001559
7	56	0	0	5.418	0.001466
9	97	0	1	5.533	0.001497
10	101	0	2	5.490	0.001486
11	209	0	6	5.325	0.001441
14	65	0	1	5.429	0.001469
13	210	0	6	11.000	0.002976
15	95	0	1	10.614	0.002872
19	259	0	9	5.489	0.001485
21	85	0	0	5.601	0.001516
20	104	0	1	5.653	0.001530
22	202	0	4	5.372	0.001454
26	101	0	4	5.533	0.001497
25	236	0	6	10.796	0.002921
27	143	0	2	5.517	0.001493
28	156	0	4	5.471	0.001481
30	194	0	6	5.480	0.001483
