iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
2	60	0	?	220056.241	59.539048
1	77	0	?	284589.485	76.999341
4	160	0	?	591485.174	160.033872
5	114	0	?	422501.025	114.313031
8	24	0	?	86102.381	23.296097
7	70	0	?	256092.828	69.289166
3	236	0	?	871687.424	235.846167
11	28	0	?	100805.041	27.274092
10	77	0	?	284718.762	77.034294
12	83	0	?	309160.691	83.647360
13	56	0	?	207123.605	56.039928
14	23	0	?	82636.479	22.358352
9	175	0	?	648641.649	175.498253
6	298	0	?	1098432.694	297.194945
16	45	0	?	166833.564	45.138945
19	21	0	?	77734.943	21.032180
15	143	0	?	529839.216	143.354744
18	159	0	?	587149.160	158.860679
20	105	0	?	390013.033	105.522991
22	38	0	?	140474.687	38.007216
