iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
4	330	0	1	845089.203	228.649639
3	556	0	3	1789338.243	484.128233
5	357	0	1	987599.043	267.207491
6	772	0	5	2512596.928	679.815072
11	521	0	1	1788289.906	483.844592
12	555	0	2	1500560.970	405.995862
15	491	0	0	1126066.305	304.671569
13	810	0	4	2321663.838	628.155696
17	456	0	3	1474097.027	398.835710
18	676	0	3	1782443.802	482.262853
20	430	0	3	1315715.107	355.983482
22	362	0	0	1140318.559	308.527698
25	522	0	0	1041058.964	281.671751
27	420	0	0	332444.256	89.947025
28	289	0	0	841037.522	227.553405
34	304	0	0	659348.437	178.395112
33	455	0	0	1437013.870	388.802391
35	873	0	5	2686402.988	726.840515
36	806	0	5	2876070.070	778.157357
39	394	0	1	1367807.591	370.077750
40	491	0	4	1313236.510	355.312850
