iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	2	0	?	5330.634	1.442267
2	8	0	?	28084.422	7.598596
4	9	0	?	30483.578	8.247719
6	9	0	?	33021.065	8.934283
3	23	0	?	84011.207	22.730316
7	17	0	?	62230.976	16.837399
5	29	0	?	107089.468	28.974438
8	18	0	?	64737.425	17.515540
9	16	0	?	56648.005	15.326840
11	8	0	?	30100.491	8.144073
12	12	0	?	44941.882	12.159602
15	10	0	?	36595.865	9.901484
10	31	0	?	116217.662	31.444179
13	24	0	?	88818.228	24.030914
17	8	0	?	28017.116	7.580390
14	30	0	?	110932.109	30.014105
19	6	0	?	22268.195	6.024944
18	9	0	?	34680.547	9.383263
22	8	0	?	29909.564	8.092414
21	10	0	?	39471.949	10.679638
16	30	0	?	112744.944	30.504581
20	24	0	?	87773.277	23.748177
23	18	0	?	67268.609	18.200379
