iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
4	16	0	0	44186.960	11.955344
1	29	0	0	82709.517	22.378114
6	19	0	0	57005.768	15.423638
3	52	0	0	132032.537	35.723086
5	54	0	0	177428.387	48.005510
2	80	0	0	114598.023	31.005953
7	39	0	0	72252.208	19.548753
8	42	0	0	126300.914	34.172318
11	29	0	0	39594.887	10.712901
9	64	0	0	176718.518	47.813445
12	41	0	0	135414.903	36.638227
10	58	0	0	148082.351	40.065566
13	59	0	0	113707.721	30.765072
15	51	0	0	142371.337	38.520379
14	63	0	0	194852.642	52.719863
16	75	0	0	185504.539	50.190615
17	45	0	0	138770.975	37.546254
19	33	0	0	101143.378	27.365629
18	60	0	0	169616.513	45.891907
20	54	0	0	169784.853	45.937454
