iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
2	40	0	0	6.639	0.001796
4	69	0	0	5.481	0.001483
1	71	0	0	5.596	0.001514
3	80	0	0	5.515	0.001492
5	42	0	0	10.904	0.002951
9	26	0	0	5.451	0.001475
8	32	0	0	11.249	0.003044
6	47	0	0	5.648	0.001529
11	33	0	0	5.466	0.001479
7	77	0	0	10.928	0.002957
10	54	0	0	11.145	0.003016
12	75	0	0	5.680	0.001537
15	30	0	0	11.185	0.003027
13	64	0	0	11.461	0.003101
14	91	0	0	5.423	0.001468
17	47	0	0	11.079	0.002998
18	48	0	0	11.237	0.003041
16	70	0	0	5.427	0.001469
19	39	0	0	5.706	0.001544
22	28	0	0	11.135	0.003013
