iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	42	0	?	155104.671	41.965546
2	55	0	?	204132.666	55.230688
3	13	0	?	45582.479	12.332924
4	71	0	?	262548.280	71.035782
5	106	0	?	390383.059	105.623103
6	36	0	?	133348.621	36.079160
7	129	0	?	477171.879	129.104932
8	47	0	?	174919.009	47.326564
9	137	0	?	504378.934	136.466139
10	34	0	?	126751.655	34.294275
11	54	0	?	198188.885	53.622524
12	12	0	?	46773.752	12.655236
13	23	0	?	84770.715	22.935797
14	88	0	?	324006.519	87.664088
15	44	0	?	162018.488	43.836164
16	60	0	?	222829.736	60.289420
17	44	0	?	163663.931	44.281359
18	30	0	?	110236.973	29.826016
19	12	0	?	42567.432	11.517161
20	73	0	?	269592.515	72.941688
