iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	135	0	0	227671.169	61.599335
2	301	0	0	776058.586	209.972527
3	270	0	0	900304.765	243.588912
4	188	0	0	244997.466	66.287184
5	103	0	0	322884.164	87.360420
6	168	0	0	248558.758	67.250735
7	120	0	0	386654.295	104.614240
8	255	0	0	263475.023	71.286522
9	136	0	0	412027.672	111.479329
10	249	0	0	547345.529	148.091296
11	86	0	0	230898.538	62.472540
12	138	0	0	373194.138	100.972424
13	164	0	0	540637.466	146.276350
14	289	0	0	692506.035	187.366324
15	63	0	0	212260.599	57.429807
16	137	0	0	309267.636	83.676294
17	152	0	0	442688.440	119.774993
18	87	0	0	290652.841	78.639826
19	131	0	0	372365.334	100.748181
20	165	0	0	319576.236	86.465417
