iter	dur_s	exit	retries	phase_mcyc	phase_wall_s
1	125	0	0	5.559	0.001504
2	118	0	0	5.310	0.001437
3	170	0	0	5.402	0.001462
4	233	0	0	5.232	0.001416
5	137	0	0	5.377	0.001455
6	166	0	0	5.351	0.001448
7	98	0	0	5.378	0.001455
8	143	0	0	5.278	0.001428
9	181	0	0	5.230	0.001416
10	163	0	0	5.321	0.001440
11	102	0	0	5.388	0.001458
12	111	0	0	5.286	0.001430
13	244	0	0	5.266	0.001425
14	144	0	0	5.376	0.001455
15	102	0	0	5.342	0.001446
16	341	0	0	5.472	0.001481
17	185	0	0	5.454	0.001476
18	158	0	0	5.516	0.001493
19	85	0	0	5.451	0.001475
20	73	0	0	5.473	0.001481
